vdatMakeId,vdatMakeName,vdatModelId,vdatModelName,coxMakeName,coxMakeCode,coxSeriesName,coxSeriesCode,coxModelName,coxModelCode,coxTrimName,coxTrimCode,coxFuelTypeName,coxFuelTypeCode,coxBodyStyleName,coxBodyStyleCode,Map to Multiple Cox Models,Map to Multiple Cox Trims,Needs Bodystyle,Needs Fuel Type
acura,Acura,acura_integra-type-s,Integra Type S,Acura,ACURA,,,Integra,INTEG,Type S,Type S,,,,,,,,
alfa-romeo,Alfa Romeo,alfa-romeo_4c,4C,Alfa Romeo,ALFA,,,4C,ALFA4C,Launch Edition,Launch Edition,,,,,,,,
alfa-romeo,Alfa Romeo,alfa-romeo_giulia-quadrifoglio,Giulia Quadrifoglio,Alfa Romeo,ALFA,,,Giulia,ALFAGIULIA,Quadrifoglio,Quadrifoglio,,,,,,,,
alfa-romeo,Alfa Romeo,alfa-romeo_stelvio-quadrifoglio,Stelvio Quadrifoglio,Alfa Romeo,ALFA,,,Stelvio,ALFASTELV,Quadrifoglio,Quadrifoglio,,,,,,,,
aston-martin,Aston Martin,aston-martin_db11,DB11,Aston Martin,ASTON,,,DB11,ASTONDB11,V12,V12,,,,,,,,
aston-martin,Aston Martin,aston-martin_db9-gt,DB9 GT,Aston Martin,ASTON,,,DB9,DB9,GT,GT,,,,,,,,
audi,Audi,audi_a3-sportback-e-tron,A3 Sportback e-tron,Audi,AUDI,,,A3,A3,e-tron Premium,e-tron Premium,,,,,,Yes,,
audi,Audi,audi_a3-sportback-e-tron,A3 Sportback e-tron,Audi,AUDI,,,A3,A3,e-tron Premium Plus,e-tron Premium Plus,,,,,,Yes,,
audi,Audi,audi_a3-sportback-e-tron,A3 Sportback e-tron,Audi,AUDI,,,A3,A3,e-tron Prestige,e-tron Prestige,,,,,,Yes,,
audi,Audi,audi_a4-allroad-quattro,A4 Allroad Quattro,Audi,AUDI,,,A4,A4,2.0T allroad Premium,2.0T allroad Premium,,,,,,Yes,,
audi,Audi,audi_a4-allroad-quattro,A4 Allroad Quattro,Audi,AUDI,,,A4,A4,2.0T allroad Premium Plus,2.0T allroad Premium Plus,,,,,,Yes,,
audi,Audi,audi_a4-allroad-quattro,A4 Allroad Quattro,Audi,AUDI,,,A4,A4,2.0T allroad Premium Plus ,2.0T allroad Premium Plus ,,,,,,Yes,,
audi,Audi,audi_a4-allroad-quattro,A4 Allroad Quattro,Audi,AUDI,,,A4,A4,2.0T allroad Prestige,2.0T allroad Prestige,,,,,,Yes,,
audi,Audi,audi_a6-allroad,A6 Allroad,Audi,AUDI,,,A6,A6,3.0T allroad Prestige,3.0T allroad Prestige,,,,,,Yes,,
audi,Audi,audi_a6-allroad,A6 Allroad,Audi,AUDI,,,A6,A6,3.0T allroad Premium Plus,3.0T allroad Premium Plus,,,,,,Yes,,
bentley,Bentley,bentley_continental-gt,Continental GT,Bentley,BENTL,,,Continental,BENCONT,GT,GT,,,,,,Yes,,
